Type,Hash,Name,Parameters,Return,ConversionKey,Conversion,NegatedConversion,ParseType,ParseRule,Notes
Action,00043620,CloseUmbrella,,,,,,,,
Action,0061B623,SetMemoryEventPlayerReward,AccessKey: str,,,,,,,
Action,00749B9D,FortuneSet,,,,,,,,
Action,009E7DC5,UISoftwareKeyboardPasswordHandling,IsClearString: bool,,,,,,,
Action,013F3014,HousingDeliveryPhotographyBGMStart,,,,,,,,
Action,015AE6EF,OverWriteFadeSetting,FadeOutKindString: str; FadeInKindString: str; FadeColorString: str; FadeOutSpeed: float; FadeInSpeed: float,,,,,,,
Action,01A6800C,AfterWeddingBGMStart,,,,,,,,
Action,02541D6C,SetTagNameUnfinishMail,TagType: str; ID: int,,,,,,,
Action,02756EAE,UIRemakeOrderCreate,,,,,,,,
Action,029D9893,StructureOrderRemoveBridgeSlope,,,,,,,,
Action,02D3CAE8,PlayerSetCraftRecipe,UnlockType: str; ItemUniqueId: int,,,,,,,
Action,02E95C8B,NetUploadEmoticon,SkipError: bool; Timeout: int; CheckHash: bool,,,,,,,
Action,03E16889,PlayerBaggageOperationForEvent,OperationType: str,,,,,,,
Action,03FE12CB,ControllerConnectTimerStart,Second: int,,,,,,,
Action,044F9E03,NetGetPOPID,IsErrorHandling: bool,,,,,,,
Action,049673E3,NetFriendMailCheck,,,,,,,,
Action,05A1068D,MuseumNameBoardFossilCamera,EntryVariableKeyInt_LoopNum: str,,,,,,,
Action,05B108C7,UIDreamIslandSearchResultHandling,,,,,,,,
Action,05B6F7FD,CharacterEmoticonAction,Reaction: str; PlayerAutoEnd: bool; MessageID: str; Frame: int; Continue: bool,,,,,,,
Action,05C0EC45,WherearenMainFieldActionStart,,,,,,,,
Action,0631E010,SetLastApproachNpcVillagerIndex,ApproachType: int,,,,,,,
Action,06631C18,WarpEACInCompleteDemo,,,,,,,,
Action,06E95447,NetUpdateFriendList,Type: str,,,,,,,
Action,07297E2B,CalendarEventStartFor2P,,,,,,,,
